Outcome,Force,Estimate,LowerCI,UpperCI,p
Reoffending,A,0.8844,0.7889,0.9915,0.0351
reoffending,B,0.7099,0.5848,0.8618,0.0005
reoffending,C,0.992,0.8085,1.2173,0.939
reoffending,D,0.9786,0.7974,1.2011,0.8363
reoffending,E,0.7956,0.7026,0.9008,0.0003
reoffending,F,1.1418,0.9997,1.3041,0.0506
reoffending,G,0.9674,0.8678,1.0784,0.5499
reoffending,H,0.9439,0.8073,1.1036,0.4689
reoffending,I,0.6723,0.6127,0.7377,5.02E-17
reoffending,Pooled effect,0.8841,0.7879,0.992,0.036
treatment,A,0.8166,0.6443,1.035,0.0938
treatment,B,0.622,0.409,0.946,0.0264
treatment,C,0.6956,0.4376,1.1057,0.1248
treatment,D,1.0697,0.6795,1.6841,0.771
treatment,E,1.0772,0.8132,1.4269,0.6043
treatment,F,1.0637,0.7934,1.4263,0.6796
treatment,G,0.8507,0.6614,1.0941,0.2079
treatment,H,1.6336,1.1681,2.2846,0.0041
treatment,I,0.8284,0.6655,1.0311,0.0919
treatment,Pooled effect,0.9322,0.7848,1.1073,0.4239
